powiat_code,powiat_name,year,total_crimes,total_population,area_km2,population_density,male_population,female_population,gender_ratio,age_15_29,age_30_49,age_50_69,population_change,population_change_pct,crime_rate_per_100k,crime_rate_per_1000,youth_ratio,middle_age_ratio,elderly_ratio,urbanization_category,population_size_category,crime_rate_change,crime_rate_change_pct,unemployment_rate,wage_index,unemployment_category,wage_category,social_risk_score
400000,KUJAWSKO-POMORSKIE,2024,60868.0,,,,,,,,,,,,,,,,,,,,,7.3,89.3,low,medium_low,-0.6696745133598138
401000,Powiat aleksandrowski,2024,1944.0,53086.0,475.0,111.76,25817.0,27269.0,94.68,8533.0,15290.0,14195.0,-372.0,-0.7,3661.98,36.62,0.1607,0.288,0.2674,suburban,medium,-661.0400000000004,-15.29,10.3,82.1,medium,medium_low,0.5193422811585744
402000,Powiat brodnicki,2024,1850.0,77345.0,1040.0,74.37,38356.0,38989.0,98.38,12898.0,23612.0,19023.0,-446.0,-0.57,2391.88,23.92,0.1668,0.3053,0.2459,rural,large,-83.98000000000002,-3.39,6.7,79.7,low,low,0.07002335014137095
403000,Powiat bydgoski,2024,2622.0,127915.0,1394.0,91.76,63373.0,64542.0,98.19,21262.0,40411.0,31859.0,934.0,0.74,2049.8,20.5,0.1662,0.3159,0.2491,rural,very_large,-234.79,-10.28,3.3,86.5,very_low,medium_low,-1.1571121997266955
404000,Powiat chełmiński,2024,2269.0,48715.0,527.0,92.44,23789.0,24926.0,95.44,8098.0,14653.0,12861.0,-408.0,-0.83,4657.7,46.58,0.1662,0.3008,0.264,rural,medium,2037.75,77.78,12.5,79.8,medium,low,1.1274334338446588
405000,Powiat golubsko-dobrzyński,2024,1454.0,42998.0,613.0,70.14,21273.0,21725.0,97.92,7394.0,12583.0,11083.0,-280.0,-0.65,3381.55,33.82,0.172,0.2926,0.2578,rural,medium,130.48000000000002,4.01,10.6,88.6,medium,medium_low,-0.0010276721579845494
406000,Powiat grudziądzki,2024,645.0,39123.0,729.0,53.67,19589.0,19534.0,100.28,6911.0,11439.0,10219.0,-14.0,-0.04,1648.65,16.49,0.1766,0.2924,0.2612,rural,medium,238.22000000000003,16.89,11.0,84.6,medium,medium_low,0.4266749037153714
407000,Powiat inowrocławski,2024,4933.0,149000.0,1225.0,121.63,71784.0,77216.0,92.97,22217.0,43976.0,41781.0,-1555.0,-1.03,3310.74,33.11,0.1491,0.2951,0.2804,suburban,very_large,-549.6400000000003,-14.24,10.7,85.6,medium,medium_low,0.282981526593844
408000,Powiat lipnowski,2024,1424.0,62058.0,1016.0,61.08,30799.0,31259.0,98.53,11109.0,18006.0,16137.0,-520.0,-0.83,2294.63,22.95,0.179,0.2901,0.26,rural,large,35.05000000000018,1.55,13.3,77.6,medium,low,1.469296276719251
409000,Powiat mogileński,2024,781.0,43209.0,675.0,64.01,21165.0,22044.0,96.01,6870.0,12416.0,11674.0,-368.0,-0.84,1807.49,18.07,0.159,0.2873,0.2702,rural,medium,-3.099999999999909,-0.17,9.6,83.6,low,medium_low,0.2578425490347978
410000,Powiat nakielski,2024,3187.0,82435.0,1120.0,73.6,40832.0,41603.0,98.15,13905.0,24717.0,21202.0,-439.0,-0.53,3866.08,38.66,0.1687,0.2998,0.2572,rural,large,-668.5100000000002,-14.74,10.2,87.6,medium,medium_low,0.013978638927383519
411000,Powiat radziejowski,2024,660.0,37331.0,607.0,61.5,18442.0,18889.0,97.63,5867.0,10418.0,10611.0,-481.0,-1.27,1767.97,17.68,0.1572,0.2791,0.2842,rural,medium,-14.529999999999973,-0.82,15.1,84.0,high,medium_low,1.2335384997907788
412000,Powiat rypiński,2024,1174.0,40798.0,587.0,69.5,20112.0,20686.0,97.23,6946.0,11631.0,10809.0,-387.0,-0.94,2877.59,28.78,0.1703,0.2851,0.2649,rural,medium,396.1000000000004,15.96,10.0,77.7,low,low,0.8537745019524682
413000,Powiat sępoleński,2024,876.0,38633.0,791.0,48.84,19256.0,19377.0,99.38,6714.0,11279.0,9886.0,-193.0,-0.5,2267.49,22.67,0.1738,0.292,0.2559,rural,medium,-357.0400000000004,-13.6,10.9,78.0,medium,low,0.9926667679242925
414000,Powiat świecki,2024,2424.0,94358.0,1474.0,64.01,46350.0,48008.0,96.55,15524.0,28003.0,24524.0,-473.0,-0.5,2568.94,25.69,0.1645,0.2968,0.2599,rural,large,-420.59000000000015,-14.07,6.4,87.6,low,medium_low,-0.6846082909831948
415000,Powiat toruński,2024,2371.0,114956.0,1230.0,93.46,57009.0,57947.0,98.38,19847.0,36937.0,27458.0,653.0,0.57,2062.53,20.63,0.1726,0.3213,0.2389,rural,very_large,-121.13999999999989,-5.55,8.3,83.3,low,medium_low,0.045414816756596976
416000,Powiat tucholski,2024,1010.0,46763.0,1075.0,43.5,23287.0,23476.0,99.19,7931.0,13355.0,12116.0,-154.0,-0.33,2159.83,21.6,0.1696,0.2856,0.2591,rural,medium,47.59000000000015,2.25,10.7,79.6,medium,low,0.8142321909443128
417000,Powiat wąbrzeski,2024,717.0,32155.0,501.0,64.18,15799.0,16356.0,96.59,5345.0,9361.0,8554.0,-265.0,-0.82,2229.82,22.3,0.1662,0.2911,0.266,rural,medium,628.9600000000003,39.29,11.0,84.1,medium,medium_low,0.47094579241124385
418000,Powiat włocławski,2024,1520.0,81591.0,1472.0,55.43,40378.0,41213.0,97.97,13354.0,23156.0,22834.0,-560.0,-0.68,1862.95,18.63,0.1637,0.2838,0.2799,rural,large,-1.9099999999998545,-0.1,13.2,81.4,medium,medium_low,1.1144536560540255
419000,Powiat żniński,2024,1712.0,67080.0,985.0,68.1,32983.0,34097.0,96.73,10910.0,19649.0,17535.0,-456.0,-0.68,2552.18,25.52,0.1626,0.2929,0.2614,rural,large,199.35999999999967,8.47,9.2,81.6,low,medium_low,0.36139063751191064
461000,Powiat m. Bydgoszcz,2024,12487.0,324043.0,176.0,1841.15,151214.0,172829.0,87.49,43913.0,101140.0,82123.0,-2391.0,-0.73,3853.5,38.54,0.1355,0.3121,0.2534,metro,very_large,-196.6300000000001,-4.85,2.3,97.9,very_low,medium_high,-2.3503271277585283
462000,Powiat m. Grudziądz,2024,3378.0,87696.0,58.0,1512.0,41550.0,46146.0,90.04,12380.0,26069.0,24008.0,-962.0,-1.09,3851.94,38.52,0.1412,0.2973,0.2738,metro,large,-550.3700000000003,-12.5,9.8,83.1,low,medium_low,0.3388811708838587
463000,Powiat m. Toruń,2024,7804.0,193717.0,116.0,1669.97,89991.0,103726.0,86.76,27305.0,62542.0,47798.0,-1054.0,-0.54,4028.56,40.29,0.141,0.3229,0.2467,metro,very_large,-683.1299999999997,-14.5,3.2,96.5,very_low,medium_high,-2.0609138402207376
464000,Powiat m. Włocławek,2024,3626.0,99474.0,85.0,1170.28,46289.0,53185.0,87.03,13601.0,28432.0,28411.0,-1333.0,-1.32,3645.17,36.45,0.1367,0.2858,0.2856,metro,large,-5191.52,-58.75,8.7,88.4,low,medium_low,-0.3326127816349259
600000,LUBELSKIE,2024,50713.0,,,,,,,,,,,,,,,,,,,,,7.4,90.0,low,medium_low,-0.7132698909574411
601000,Powiat bialski,2024,2297.0,104108.0,2754.0,37.8,51985.0,52123.0,99.74,18281.0,29155.0,27245.0,-741.0,-0.71,2206.36,22.06,0.1756,0.28,0.2617,rural,very_large,9.870000000000346,0.45,9.1,80.8,low,medium_low,0.41384019284871215
602000,Powiat biłgorajski,2024,1360.0,95219.0,1681.0,56.64,46840.0,48379.0,96.82,15685.0,27661.0,25155.0,-939.0,-0.98,1428.29,14.28,0.1647,0.2905,0.2642,rural,large,-171.16000000000008,-10.7,5.9,77.0,low,low,0.16201521648632888
603000,Powiat chełmski,2024,1375.0,73117.0,1881.0,38.87,36311.0,36806.0,98.66,12158.0,21606.0,19539.0,-588.0,-0.8,1880.55,18.81,0.1663,0.2955,0.2672,rural,large,-82.68000000000006,-4.21,12.4,80.2,medium,medium_low,1.0736328563113662
604000,Powiat hrubieszowski,2024,1250.0,55911.0,1270.0,44.02,27394.0,28517.0,96.06,8891.0,15424.0,15918.0,-872.0,-1.54,2235.7,22.36,0.159,0.2759,0.2847,rural,medium,-240.39000000000036,-9.71,15.3,85.1,high,medium_low,1.1729102778130485
