powiat_code,powiat_name,year,total_crimes,total_population,area_km2,population_density,male_population,female_population,gender_ratio,age_15_29,age_30_49,age_50_69,population_change,population_change_pct,crime_rate_per_100k,crime_rate_per_1000,youth_ratio,middle_age_ratio,elderly_ratio,urbanization_category,population_size_category,crime_rate_change,crime_rate_change_pct
0405000,Powiat golubsko-dobrzyński,2024,732.0,42998.0,613.0,70.14,21273.0,21725.0,97.92,7394.0,12583.0,11083.0,-280.0,-0.65,1702.4,17.02,0.172,0.2926,0.2578,rural,medium,20.25,1.2
0406000,Powiat grudziądzki,2024,395.0,39123.0,729.0,53.67,19589.0,19534.0,100.28,6911.0,11439.0,10219.0,-14.0,-0.04,1009.64,10.1,0.1766,0.2924,0.2612,rural,medium,227.76999999999998,29.13
0407000,Powiat inowrocławski,2024,2947.0,149000.0,1225.0,121.63,71784.0,77216.0,92.97,22217.0,43976.0,41781.0,-1555.0,-1.03,1977.85,19.78,0.1491,0.2951,0.2804,suburban,very_large,-700.9100000000003,-26.17
0408000,Powiat lipnowski,2024,780.0,62058.0,1016.0,61.08,30799.0,31259.0,98.53,11109.0,18006.0,16137.0,-520.0,-0.83,1256.89,12.57,0.179,0.2901,0.26,rural,large,101.5300000000002,8.79
0409000,Powiat mogileński,2024,410.0,43209.0,675.0,64.01,21165.0,22044.0,96.01,6870.0,12416.0,11674.0,-368.0,-0.84,948.88,9.49,0.159,0.2873,0.2702,rural,medium,-28.700000000000045,-2.94
0410000,Powiat nakielski,2024,1599.0,82435.0,1120.0,73.6,40832.0,41603.0,98.15,13905.0,24717.0,21202.0,-439.0,-0.53,1939.71,19.4,0.1687,0.2998,0.2572,rural,large,-235.8800000000001,-10.84
0411000,Powiat radziejowski,2024,380.0,37331.0,607.0,61.5,18442.0,18889.0,97.63,5867.0,10418.0,10611.0,-481.0,-1.27,1017.92,10.18,0.1572,0.2791,0.2842,rural,medium,-63.750000000000114,-5.89
0412000,Powiat rypiński,2024,810.0,40798.0,587.0,69.5,20112.0,20686.0,97.23,6946.0,11631.0,10809.0,-387.0,-0.94,1985.39,19.85,0.1703,0.2851,0.2649,rural,medium,438.71000000000004,28.36
0413000,Powiat sępoleński,2024,524.0,38633.0,791.0,48.84,19256.0,19377.0,99.38,6714.0,11279.0,9886.0,-193.0,-0.5,1356.35,13.56,0.1738,0.292,0.2559,rural,medium,-145.22000000000003,-9.67
0414000,Powiat świecki,2024,1449.0,94358.0,1474.0,64.01,46350.0,48008.0,96.55,15524.0,28003.0,24524.0,-473.0,-0.5,1535.64,15.36,0.1645,0.2968,0.2599,rural,large,-142.07999999999993,-8.47
0415000,Powiat toruński,2024,1363.0,114956.0,1230.0,93.46,57009.0,57947.0,98.38,19847.0,36937.0,27458.0,653.0,0.57,1185.67,11.86,0.1726,0.3213,0.2389,rural,very_large,-24.269999999999982,-2.01
0416000,Powiat tucholski,2024,614.0,46763.0,1075.0,43.5,23287.0,23476.0,99.19,7931.0,13355.0,12116.0,-154.0,-0.33,1313.0,13.13,0.1696,0.2856,0.2591,rural,medium,2.1700000000000728,0.17
0417000,Powiat wąbrzeski,2024,471.0,32155.0,501.0,64.18,15799.0,16356.0,96.59,5345.0,9361.0,8554.0,-265.0,-0.82,1464.78,14.65,0.1662,0.2911,0.266,rural,medium,530.17,56.73
0418000,Powiat włocławski,2024,844.0,81591.0,1472.0,55.43,40378.0,41213.0,97.97,13354.0,23156.0,22834.0,-560.0,-0.68,1034.43,10.34,0.1637,0.2838,0.2799,rural,large,4.620000000000118,0.45
0419000,Powiat żniński,2024,989.0,67080.0,985.0,68.1,32983.0,34097.0,96.73,10910.0,19649.0,17535.0,-456.0,-0.68,1474.36,14.74,0.1626,0.2929,0.2614,rural,large,107.67999999999984,7.88
0461000,Powiat m. Bydgoszcz,2024,8048.0,324043.0,176.0,1841.15,151214.0,172829.0,87.49,43913.0,101140.0,82123.0,-2391.0,-0.73,2483.62,24.84,0.1355,0.3121,0.2534,metro,very_large,0.7300000000000182,0.03
0462000,Powiat m. Grudziądz,2024,2006.0,87696.0,58.0,1512.0,41550.0,46146.0,90.04,12380.0,26069.0,24008.0,-962.0,-1.09,2287.45,22.87,0.1412,0.2973,0.2738,metro,large,-249.26000000000022,-9.83
0463000,Powiat m. Toruń,2024,4561.0,193717.0,116.0,1669.97,89991.0,103726.0,86.76,27305.0,62542.0,47798.0,-1054.0,-0.54,2354.47,23.54,0.141,0.3229,0.2467,metro,very_large,-539.1800000000003,-18.63
0464000,Powiat m. Włocławek,2024,1881.0,99474.0,85.0,1170.28,46289.0,53185.0,87.03,13601.0,28432.0,28411.0,-1333.0,-1.32,1890.95,18.91,0.1367,0.2858,0.2856,metro,large,-4705.81,-71.34
0600000,LUBELSKIE,2024,30868.0,,,,,,,,,,,,,,,,,,,,
0601000,Powiat bialski,2024,1323.0,104108.0,2754.0,37.8,51985.0,52123.0,99.74,18281.0,29155.0,27245.0,-741.0,-0.71,1270.8,12.71,0.1756,0.28,0.2617,rural,very_large,-35.840000000000146,-2.74
0602000,Powiat biłgorajski,2024,788.0,95219.0,1681.0,56.64,46840.0,48379.0,96.82,15685.0,27661.0,25155.0,-939.0,-0.98,827.57,8.28,0.1647,0.2905,0.2642,rural,large,-123.9899999999999,-13.03
0603000,Powiat chełmski,2024,807.0,73117.0,1881.0,38.87,36311.0,36806.0,98.66,12158.0,21606.0,19539.0,-588.0,-0.8,1103.71,11.04,0.1663,0.2955,0.2672,rural,large,-6.119999999999891,-0.55
0604000,Powiat hrubieszowski,2024,722.0,55911.0,1270.0,44.02,27394.0,28517.0,96.06,8891.0,15424.0,15918.0,-872.0,-1.54,1291.34,12.91,0.159,0.2759,0.2847,rural,medium,-172.1300000000001,-11.76
0605000,Powiat janowski,2024,366.0,42260.0,876.0,48.24,20919.0,21341.0,98.02,7260.0,11605.0,11538.0,-536.0,-1.25,866.07,8.66,0.1718,0.2746,0.273,rural,medium,-47.569999999999936,-5.21
0606000,Powiat krasnostawski,2024,790.0,58307.0,1032.0,56.5,28433.0,29874.0,95.18,8833.0,16442.0,15929.0,-734.0,-1.24,1354.9,13.55,0.1515,0.282,0.2732,rural,medium,3.300000000000182,0.24
0607000,Powiat kraśnicki,2024,1117.0,88198.0,1005.0,87.76,42765.0,45433.0,94.13,13892.0,25017.0,23789.0,-1017.0,-1.14,1266.47,12.66,0.1575,0.2836,0.2697,rural,large,-28.160000000000082,-2.18
0608000,Powiat lubartowski,2024,983.0,83385.0,1289.0,64.69,40826.0,42559.0,95.93,13870.0,24367.0,21549.0,-590.0,-0.7,1178.87,11.79,0.1663,0.2922,0.2584,rural,large,85.68999999999983,7.84
0609000,Powiat lubelski,2024,1734.0,165359.0,1680.0,98.43,81245.0,84114.0,96.59,27876.0,50012.0,40927.0,890.0,0.54,1048.63,10.49,0.1686,0.3024,0.2475,rural,very_large,-16.00999999999999,-1.5
0610000,Powiat łęczyński,2024,969.0,55531.0,637.0,87.18,27219.0,28312.0,96.14,8892.0,17224.0,14179.0,-190.0,-0.34,1744.97,17.45,0.1601,0.3102,0.2553,rural,medium,368.47,26.77
0611000,Powiat łukowski,2024,1192.0,100230.0,1394.0,71.9,49592.0,50638.0,97.93,17905.0,27860.0,24424.0,-729.0,-0.72,1189.26,11.89,0.1786,0.278,0.2437,rural,very_large,-717.45,-37.63
0612000,Powiat opolski,2024,861.0,55078.0,811.0,67.91,26804.0,28274.0,94.8,8914.0,15769.0,14527.0,-572.0,-1.03,1563.24,15.63,0.1618,0.2863,0.2638,rural,medium,206.54999999999995,15.22
0613000,Powiat parczewski,2024,488.0,31832.0,952.0,33.44,15684.0,16148.0,97.13,5046.0,9102.0,8515.0,-391.0,-1.21,1533.05,15.33,0.1585,0.2859,0.2675,rural,medium,86.87999999999988,6.01
0614000,Powiat puławski,2024,1824.0,106181.0,934.0,113.68,50643.0,55538.0,91.19,16023.0,28924.0,29061.0,-839.0,-0.78,1717.82,17.18,0.1509,0.2724,0.2737,suburban,very_large,62.99000000000001,3.81
0615000,Powiat radzyński,2024,795.0,54531.0,965.0,56.51,27179.0,27352.0,99.37,9528.0,15101.0,14337.0,-490.0,-0.89,1457.89,14.58,0.1747,0.2769,0.2629,rural,medium,-6951.63,-82.66
0616000,Powiat rycki,2024,1008.0,50898.0,614.0,82.9,25082.0,25816.0,97.16,8441.0,13756.0,13380.0,-659.0,-1.28,1980.43,19.8,0.1658,0.2703,0.2629,rural,medium,-263.6899999999998,-11.75
0617000,Powiat świdnicki,2024,811.0,68991.0,468.0,147.42,33105.0,35886.0,92.25,10096.0,20336.0,18000.0,-283.0,-0.41,1175.52,11.76,0.1463,0.2948,0.2609,suburban,large,-192.96000000000004,-14.1
0618000,Powiat tomaszowski,2024,1010.0,76155.0,1487.0,51.21,37419.0,38736.0,96.6,12051.0,21501.0,21359.0,-861.0,-1.12,1326.24,13.26,0.1582,0.2823,0.2805,rural,large,-769.4300000000001,-36.72
0619000,Powiat włodawski,2024,456.0,34989.0,1256.0,27.86,17346.0,17643.0,98.32,5439.0,9838.0,9675.0,-410.0,-1.16,1303.27,13.03,0.1554,0.2812,0.2765,rural,medium,170.47000000000003,15.05
0620000,Powiat zamojski,2024,1366.0,100017.0,1870.0,53.49,49289.0,50728.0,97.16,16648.0,28372.0,27329.0,-736.0,-0.73,1365.77,13.66,0.1665,0.2837,0.2732,rural,very_large,394.09000000000003,40.56
0661000,Powiat m. Biała Podlaska,2024,1563.0,53888.0,49.0,1099.76,25664.0,28224.0,90.93,8065.0,15812.0,14463.0,-565.0,-1.04,2900.46,29.0,0.1497,0.2934,0.2684,metro,medium,-80.09000000000015,-2.69
0662000,Powiat m. Chełm,2024,1263.0,56434.0,40.0,1410.85,26153.0,30281.0,86.37,7487.0,16335.0,16303.0,-780.0,-1.36,2238.01,22.38,0.1327,0.2895,0.2889,metro,medium,-46.399999999999636,-2.03
0663000,Powiat m. Lublin,2024,7559.0,328305.0,147.0,2233.37,151501.0,176804.0,85.69,47497.0,104507.0,78166.0,-1260.0,-0.38,2302.43,23.02,0.1447,0.3183,0.2381,metro,very_large,154.44999999999982,7.19
0664000,Powiat m. Zamość,2024,1073.0,57516.0,30.0,1917.2,26730.0,30786.0,86.83,7860.0,17061.0,15987.0,-715.0,-1.23,1865.57,18.66,0.1367,0.2966,0.278,metro,medium,29.779999999999973,1.62
0800000,LUBUSKIE,2024,22435.0,,,,,,,,,,,,,,,,,,,,
0801000,Powiat gorzowski,2024,909.0,74079.0,1214.0,61.02,36799.0,37280.0,98.71,12168.0,23211.0,19072.0,182.0,0.25,1227.07,12.27,0.1643,0.3133,0.2575,rural,large,-498.29999999999995,-28.88
0802000,Powiat krośnieński,2024,857.0,52187.0,1390.0,37.54,25580.0,26607.0,96.14,8193.0,15977.0,13831.0,-530.0,-1.01,1642.17,16.42,0.157,0.3061,0.265,rural,medium,-410.2999999999997,-19.99
0803000,Powiat międzyrzecki,2024,1321.0,54439.0,1388.0,39.22,26670.0,27769.0,96.04,8232.0,16369.0,14496.0,-400.0,-0.73,2426.57,24.27,0.1512,0.3007,0.2663,rural,medium,672.3400000000001,38.33
0804000,Powiat nowosolski,2024,1772.0,81809.0,774.0,105.7,39732.0,42077.0,94.43,12872.0,24520.0,20994.0,-472.0,-0.57,2166.02,21.66,0.1573,0.2997,0.2566,suburban,large,-244.01000000000022,-10.12
0805000,Powiat słubicki,2024,1048.0,45679.0,999.0,45.72,22287.0,23392.0,95.28,7361.0,14369.0,12106.0,-175.0,-0.38,2294.27,22.94,0.1611,0.3146,0.265,rural,medium,-4658.23,-67.0
0806000,Powiat strzelecko-drezdenecki,2024,831.0,46204.0,1248.0,37.02,22740.0,23464.0,96.91,7357.0,13548.0,12343.0,-454.0,-0.97,1798.55,17.99,0.1592,0.2932,0.2671,rural,medium,231.82999999999993,14.8
0807000,Powiat sulęciński,2024,730.0,33191.0,1178.0,28.18,16572.0,16619.0,99.72,5178.0,10242.0,8699.0,-304.0,-0.91,2199.39,21.99,0.156,0.3086,0.2621,rural,medium,-63.63000000000011,-2.81
0808000,Powiat świebodziński,2024,1891.0,53609.0,937.0,57.21,26269.0,27340.0,96.08,8331.0,16205.0,13939.0,-352.0,-0.65,3527.39,35.27,0.1554,0.3023,0.26,rural,medium,1631.58,86.06
0809000,Powiat zielonogórski,2024,1164.0,74754.0,1351.0,55.33,36845.0,37909.0,97.19,11507.0,23409.0,19088.0,-323.0,-0.43,1557.11,15.57,0.1539,0.3131,0.2553,rural,large,-66.56000000000017,-4.1
0810000,Powiat żagański,2024,1697.0,72933.0,1131.0,64.49,35525.0,37408.0,94.97,11265.0,21697.0,19924.0,-671.0,-0.91,2326.79,23.27,0.1545,0.2975,0.2732,rural,large,-58.94999999999982,-2.47
0811000,Powiat żarski,2024,1622.0,90364.0,1393.0,64.87,43705.0,46659.0,93.67,14226.0,27436.0,24082.0,-846.0,-0.93,1794.96,17.95,0.1574,0.3036,0.2665,rural,large,-163.15999999999985,-8.33
0812000,Powiat wschowski,2024,641.0,37002.0,624.0,59.3,18220.0,18782.0,97.01,6160.0,10926.0,9547.0,-249.0,-0.67,1732.34,17.32,0.1665,0.2953,0.258,rural,medium,-240.76,-12.2
0861000,Powiat m. Gorzów Wielkopolski,2024,4167.0,114700.0,86.0,1333.72,53860.0,60840.0,88.53,15694.0,35950.0,29565.0,-547.0,-0.47,3632.96,36.33,0.1368,0.3134,0.2578,metro,very_large,919.6599999999999,33.89
0862000,Powiat m. Zielona Góra,2024,3785.0,138869.0,275.0,504.98,65667.0,73202.0,89.71,19070.0,45182.0,33535.0,-63.0,-0.05,2725.59,27.26,0.1373,0.3254,0.2415,urban,very_large,-114.64999999999964,-4.04
1000000,ŁÓDZKIE,2024,44490.0,,,,,,,,,,,,,,,,,,,,
