powiat_code,powiat_name,area_min,area_max,area_mean,area_std,area_changed
1423000,Powiat przysuski,801,802,801.1666666666666,0.3892494720807468,True
1424000,Powiat pułtuski,827,827,827.0,0.0,False
1425000,Powiat radomski,1530,1530,1530.0,0.0,False
1426000,Powiat siedlecki,1603,1603,1603.0,0.0,False
1427000,Powiat sierpecki,852,852,852.0,0.0,False
1428000,Powiat sochaczewski,735,735,735.0,0.0,False
1429000,Powiat sokołowski,1131,1131,1131.0,0.0,False
1430000,Powiat szydłowiecki,452,452,452.0,0.0,False
1432000,Powiat warszawski zachodni,534,534,534.0,0.0,False
1433000,Powiat węgrowski,1220,1221,1220.75,0.45226701686670817,True
1434000,Powiat wołomiński,954,954,954.0,0.0,False
1435000,Powiat wyszkowski,876,877,876.25,0.45226701686663096,True
1436000,Powiat zwoleński,573,573,573.0,0.0,False
1437000,Powiat żuromiński,806,807,806.8333333333334,0.3892494720807468,True
1438000,Powiat żyrardowski,532,533,532.75,0.45226701686663096,True
1461000,Powiat m. Ostrołęka,29,34,31.416666666666668,2.151461800448216,True
1462000,Powiat m. Płock,88,88,88.0,0.0,False
1463000,Powiat m. Radom,112,112,112.0,0.0,False
1464000,Powiat m. Siedlce,32,32,32.0,0.0,False
1465000,Powiat m. st. Warszawa,517,517,517.0,0.0,False
1601000,Powiat brzeski,876,876,876.0,0.0,False
1602000,Powiat głubczycki,673,673,673.0,0.0,False
1603000,Powiat kędzierzyńsko-kozielski,625,625,625.0,0.0,False
1604000,Powiat kluczborski,852,852,852.0,0.0,False
1605000,Powiat krapkowicki,442,442,442.0,0.0,False
1606000,Powiat namysłowski,748,748,748.0,0.0,False
1607000,Powiat nyski,1224,1224,1224.0,0.0,False
1608000,Powiat oleski,973,973,973.0,0.0,False
1609000,Powiat opolski,1534,1586,1551.3333333333333,25.603030123701082,True
1610000,Powiat prudnicki,571,572,571.75,0.45226701686663096,True
1611000,Powiat strzelecki,744,744,744.0,0.0,False
1661000,Powiat m. Opole,97,149,131.66666666666666,25.60303012370121,True
1801000,Powiat bieszczadzki,1139,1139,1139.0,0.0,False
1802000,Powiat brzozowski,539,539,539.0,0.0,False
1803000,Powiat dębicki,777,777,777.0,0.0,False
1804000,Powiat jarosławski,1029,1029,1029.0,0.0,False
1805000,Powiat jasielski,831,831,831.0,0.0,False
1806000,Powiat kolbuszowski,773,774,773.75,0.45226701686663096,True
1807000,Powiat krośnieński,926,993,970.3333333333334,32.74511298258758,True
1808000,Powiat leżajski,583,584,583.6666666666666,0.49236596391731874,True
1809000,Powiat lubaczowski,1308,1308,1308.0,0.0,False
1810000,Powiat łańcucki,452,452,452.0,0.0,False
1811000,Powiat mielecki,880,881,880.6666666666666,0.49236596391731874,True
1812000,Powiat niżański,786,786,786.0,0.0,False
1813000,Powiat przemyski,1211,1211,1211.0,0.0,False
1814000,Powiat przeworski,698,698,698.0,0.0,False
1815000,Powiat ropczycko-sędziszowski,548,548,548.0,0.0,False
1816000,Powiat rzeszowski,1144,1157,1150.5833333333333,5.550730227691293,True
1817000,Powiat sanocki,1156,1224,1178.6666666666667,33.48088554637854,True
1818000,Powiat stalowowolski,832,832,832.0,0.0,False
1819000,Powiat strzyżowski,503,504,503.75,0.45226701686664045,True
1820000,Powiat tarnobrzeski,521,521,521.0,0.0,False
1821000,Powiat leski,835,835,835.0,0.0,False
1861000,Powiat m. Krosno,44,45,44.333333333333336,0.49236596391732973,True
1862000,Powiat m. Przemyśl,46,46,46.0,0.0,False
1863000,Powiat m. Rzeszów,117,129,123.0,5.427204202399746,True
1864000,Powiat m. Tarnobrzeg,85,85,85.0,0.0,False
2001000,Powiat augustowski,1659,1659,1659.0,0.0,False
2002000,Powiat białostocki,2975,2977,2975.5,0.9045340337334163,True
2003000,Powiat bielski,1385,1385,1385.0,0.0,False
2004000,Powiat grajewski,967,968,967.75,0.45226701686663096,True
2005000,Powiat hajnowski,1624,1624,1624.0,0.0,False
2006000,Powiat kolneński,940,940,940.0,0.0,False
2007000,Powiat łomżyński,1355,1355,1355.0,0.0,False
2008000,Powiat moniecki,1382,1382,1382.0,0.0,False
2009000,Powiat sejneński,855,855,855.0,0.0,False
2010000,Powiat siemiatycki,1459,1459,1459.0,0.0,False
2011000,Powiat sokólski,2054,2055,2054.75,0.45226701686668946,True
2012000,Powiat suwalski,1307,1307,1307.0,0.0,False
2013000,Powiat wysokomazowiecki,1289,1289,1289.0,0.0,False
2014000,Powiat zambrowski,733,733,733.0,0.0,False
2061000,Powiat m. Białystok,102,102,102.0,0.0,False
2062000,Powiat m. Łomża,33,33,33.0,0.0,False
2063000,Powiat m. Suwałki,66,66,66.0,0.0,False
2201000,Powiat bytowski,2192,2192,2192.0,0.0,False
2202000,Powiat chojnicki,1364,1364,1364.0,0.0,False
2203000,Powiat człuchowski,1575,1575,1575.0,0.0,False
2204000,Powiat gdański,794,794,794.0,0.0,False
2205000,Powiat kartuski,1120,1121,1120.75,0.45226701686670817,True
2206000,Powiat kościerski,1166,1166,1166.0,0.0,False
2207000,Powiat kwidzyński,835,835,835.0,0.0,False
2208000,Powiat lęborski,706,708,707.0,1.0444659357341917,True
2209000,Powiat malborski,494,494,494.0,0.0,False
2210000,Powiat nowodworski,672,914,713.1666666666666,93.81396807544498,True
2211000,Powiat pucki,572,868,625.0833333333334,113.5473135932437,True
2212000,Powiat słupski,2300,2310,2303.8333333333335,2.4802248187442455,True
2213000,Powiat starogardzki,1345,1346,1345.25,0.45226701686670817,True
2214000,Powiat tczewski,697,697,697.0,0.0,False
2215000,Powiat wejherowski,1285,1288,1285.75,1.3568010505999515,True
2216000,Powiat sztumski,731,731,731.0,0.0,False
2261000,Powiat m. Gdańsk,262,683,332.5,163.72232590578477,True
2262000,Powiat m. Gdynia,135,391,177.66666666666666,99.64786485267493,True
2263000,Powiat m. Słupsk,43,53,44.666666666666664,3.8924947208076155,True
2264000,Powiat m. Sopot,17,28,18.833333333333332,4.281744192888377,True
2401000,Powiat będziński,364,364,364.0,0.0,False
2402000,Powiat bielski,458,459,458.75,0.45226701686664045,True
2403000,Powiat cieszyński,730,730,730.0,0.0,False
2404000,Powiat częstochowski,1521,1522,1521.25,0.45226701686670817,True
2405000,Powiat gliwicki,664,665,664.25,0.45226701686663096,True
2406000,Powiat kłobucki,889,889,889.0,0.0,False
2407000,Powiat lubliniecki,822,822,822.0,0.0,False
2408000,Powiat mikołowski,233,233,233.0,0.0,False
2409000,Powiat myszkowski,479,479,479.0,0.0,False
2410000,Powiat pszczyński,471,471,471.0,0.0,False
2411000,Powiat raciborski,544,544,544.0,0.0,False
2412000,Powiat rybnicki,224,224,224.0,0.0,False
2413000,Powiat tarnogórski,644,644,644.0,0.0,False
2414000,Powiat bieruńsko-lędziński,158,158,158.0,0.0,False
2415000,Powiat wodzisławski,287,287,287.0,0.0,False
2416000,Powiat zawierciański,1003,1004,1003.25,0.45226701686663096,True
2417000,Powiat żywiecki,1040,1040,1040.0,0.0,False
2461000,Powiat m. Bielsko-Biała,124,125,124.75,0.4522670168666491,True
2462000,Powiat m. Bytom,69,69,69.0,0.0,False
2463000,Powiat m. Chorzów,33,33,33.0,0.0,False
2464000,Powiat m. Częstochowa,160,160,160.0,0.0,False
2465000,Powiat m. Dąbrowa Górnicza,189,189,189.0,0.0,False
2466000,Powiat m. Gliwice,134,134,134.0,0.0,False
2467000,Powiat m. Jastrzębie-Zdrój,85,85,85.0,0.0,False
2468000,Powiat m. Jaworzno,152,153,152.75,0.4522670168666456,True
2469000,Powiat m. Katowice,165,165,165.0,0.0,False
2470000,Powiat m. Mysłowice,66,66,66.0,0.0,False
2471000,Powiat m. Piekary Śląskie,40,40,40.0,0.0,False
2472000,Powiat m. Ruda Śląska,78,78,78.0,0.0,False
2473000,Powiat m. Rybnik,148,148,148.0,0.0,False
2474000,Powiat m. Siemianowice Śląskie,25,26,25.25,0.4522670168666449,True
2475000,Powiat m. Sosnowiec,91,91,91.0,0.0,False
2476000,Powiat m. Świętochłowice,13,13,13.0,0.0,False
2477000,Powiat m. Tychy,82,82,82.0,0.0,False
2478000,Powiat m. Zabrze,80,80,80.0,0.0,False
2479000,Powiat m. Żory,65,65,65.0,0.0,False
2601000,Powiat buski,968,968,968.0,0.0,False
2602000,Powiat jędrzejowski,1257,1257,1257.0,0.0,False
2603000,Powiat kazimierski,422,422,422.0,0.0,False
2604000,Powiat kielecki,2246,2246,2246.0,0.0,False
2605000,Powiat konecki,1139,1140,1139.75,0.45226701686665066,True
2606000,Powiat opatowski,911,911,911.0,0.0,False
2607000,Powiat ostrowiecki,617,617,617.0,0.0,False
2608000,Powiat pińczowski,613,613,613.0,0.0,False
2609000,Powiat sandomierski,676,676,676.0,0.0,False
2610000,Powiat skarżyski,395,395,395.0,0.0,False
2611000,Powiat starachowicki,523,523,523.0,0.0,False
2612000,Powiat staszowski,925,925,925.0,0.0,False
2613000,Powiat włoszczowski,906,908,907.5,0.9045340337332809,True
2661000,Powiat m. Kielce,110,110,110.0,0.0,False
2801000,Powiat bartoszycki,1307,1307,1307.0,0.0,False
2802000,Powiat braniewski,1202,1204,1202.5,0.9045340337332619,True
2803000,Powiat działdowski,954,954,954.0,0.0,False
2804000,Powiat elbląski,1413,1416,1415.25,1.3568010505999515,True
2805000,Powiat ełcki,1113,1113,1113.0,0.0,False
2806000,Powiat giżycki,1120,1120,1120.0,0.0,False
2807000,Powiat iławski,1385,1385,1385.0,0.0,False
2808000,Powiat kętrzyński,1213,1213,1213.0,0.0,False
2809000,Powiat lidzbarski,925,925,925.0,0.0,False
2810000,Powiat mrągowski,1065,1065,1065.0,0.0,False
2811000,Powiat nidzicki,961,961,961.0,0.0,False
2812000,Powiat nowomiejski,694,694,694.0,0.0,False
2813000,Powiat olecki,874,874,874.0,0.0,False
2814000,Powiat olsztyński,2837,2838,2837.25,0.45226701686668946,True
2815000,Powiat ostródzki,1766,1767,1766.25,0.45226701686670817,True
2816000,Powiat piski,1775,1775,1775.0,0.0,False
2817000,Powiat szczycieński,1933,1933,1933.0,0.0,False
2818000,Powiat gołdapski,772,772,772.0,0.0,False
2819000,Powiat węgorzewski,693,693,693.0,0.0,False
2861000,Powiat m. Elbląg,80,80,80.0,0.0,False
2862000,Powiat m. Olsztyn,88,88,88.0,0.0,False
3001000,Powiat chodzieski,685,685,685.0,0.0,False
3002000,Powiat czarnkowsko-trzcianecki,1806,1808,1806.5,0.9045340337332619,True
3003000,Powiat gnieźnieński,1255,1255,1255.0,0.0,False
3004000,Powiat gostyński,810,810,810.0,0.0,False
3005000,Powiat grodziski,642,644,642.5,0.9045340337332809,True
3006000,Powiat jarociński,587,588,587.25,0.45226701686663096,True
3007000,Powiat kaliski,1160,1160,1160.0,0.0,False
3008000,Powiat kępiński,608,608,608.0,0.0,False
3009000,Powiat kolski,1011,1011,1011.0,0.0,False
3010000,Powiat koniński,1578,1578,1578.0,0.0,False
3011000,Powiat kościański,722,722,722.0,0.0,False
3012000,Powiat krotoszyński,714,714,714.0,0.0,False
3013000,Powiat leszczyński,806,806,806.0,0.0,False
